,Alexander (R-TN),Ayotte (R-NH),Baldwin (D-WI),Barrasso (R-WY),Bennet (D-CO),Blumenthal (D-CT),Blunt (R-MO),Booker (D-NJ),Boozman (R-AR),Boxer (D-CA),Brown (D-OH),Burr (R-NC),Cantwell (D-WA),Capito (R-WV),Cardin (D-MD),Carper (D-DE),Casey (D-PA),Cassidy (R-LA),Coats (R-IN),Cochran (R-MS),Collins (R-ME),Coons (D-DE),Corker (R-TN),Cornyn (R-TX),Cotton (R-AR),Crapo (R-ID),Cruz (R-TX),Daines (R-MT),Donnelly (D-IN),Durbin (D-IL),Enzi (R-WY),Ernst (R-IA),Feinstein (D-CA),Fischer (R-NE),Flake (R-AZ),Franken (D-MN),Gardner (R-CO),Gillibrand (D-NY),Graham (R-SC),Grassley (R-IA),Hatch (R-UT),Heinrich (D-NM),Heitkamp (D-ND),Heller (R-NV),Hirono (D-HI),Hoeven (R-ND),Inhofe (R-OK),Isakson (R-GA),Johnson (R-WI),Kaine (D-VA),King (I-ME),Kirk (R-IL),Klobuchar (D-MN),Lankford (R-OK),Leahy (D-VT),Lee (R-UT),Manchin (D-WV),Markey (D-MA),McCain (R-AZ),McCaskill (D-MO),McConnell (R-KY),Menendez (D-NJ),Merkley (D-OR),Mikulski (D-MD),Moran (R-KS),Murkowski (R-AK),Murphy (D-CT),Murray (D-WA),Nelson (D-FL),Paul (R-KY),Perdue (R-GA),Peters (D-MI),Portman (R-OH),Reed (D-RI),Reid (D-NV),Risch (R-ID),Roberts (R-KS),Rounds (R-SD),Rubio (R-FL),Sanders (I-VT),Sasse (R-NE),Schatz (D-HI),Schumer (D-NY),Scott (R-SC),Sessions (R-AL),Shaheen (D-NH),Shelby (R-AL),Stabenow (D-MI),Sullivan (R-AK),Tester (D-MT),Thune (R-SD),Tillis (R-NC),Toomey (R-PA),Udall (D-NM),Vitter (R-LA),Warner (D-VA),Warren (D-MA),Whitehouse (D-RI),Wicker (R-MS),Wyden (D-OR),outcome
1,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Amendment Rejected
2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Bill Passed
3,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Cloture on the Motion to Proceed Agreed to
4,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Motion to Table Agreed to
5,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Motion to Table Agreed to
6,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Amendment Agreed to
7,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Amendment Rejected
8,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Amendment Rejected
9,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Amendment Rejected
10,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Amendment Agreed to
11,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Amendment Rejected
12,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Amendment Rejected
13,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Amendment Rejected
14,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Amendment Rejected
15,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Motion to Table Agreed to
16,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Motion to Table Agreed to
17,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Amendment Rejected
18,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Amendment Agreed to
19,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Amendment Rejected
20,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Amendment Rejected
21,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Amendment Agreed to
22,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Amendment Rejected
23,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Motion for Attendance Agreed to
24,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Motion to Table Agreed to
25,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Motion to Table Agreed to
26,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Motion to Table Agreed to
27,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Motion to Table Agreed to
28,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Motion to Table Agreed to
29,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Cloture Motion Rejected
30,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Cloture Motion Rejected
31,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Amendment Rejected
